bd_id,Entrega ou Retirada,Formas de Pagamento,Casa ou Empresa,Loja Cidade,Concentrado,Serviços
fw3FsnjIRaKff3JTGH9g1Q,Receber no endereço,Dinheiro,Casa,Jaboticabal,Pronto-uso,Pós Obra
cJsl8x5URiyrHjqHL9MvSA,Retirar na Loja,Pix,Empresa,Monte Alto,Concentrado - Alto Rendimento,Pisos
GyJOgp0YSIW5aPbcWHvfdA,,Cartão,,,Super concentrado - Alto Rendimento,Fachadas
a07wAAjCS3-sJ.Bdd-G4yQ,,,,,,Placas Solares
gf2nHF7AR-61zzy9a0WKgA,,,,,,Toldos
BxCzDpYwQFeQmVCGChiaEw,,,,,,ACM
dleT5q.fTg6NS2mqvGijTQ,,,,,,Outros
S1l2Qe.ZRt-Z2jssF1ZS0Q,,,Casa,,,
eO1IMGQaT9CzFOukoNHvmg,,,Casa,,,
aWtqL.9DQfS9oQOcioKDnA,,,Empresa,,,
ziLDJ19zSzCUFba66ftsQQ,,,Casa,,,
WlD-qVkyQoilgHs0jHbcJw,,,Casa,,,
GRLNVyl4THedlhQAJ3EGYg,,,Casa,,,
aMP9Suc5QFivZ3X0cD0MSg,,,Casa,,,
MA0ygA8QQ3a9dm4wvvctTQ,,,Casa,,,
JYFhuR7-SVKmxTAUTLjXGA,,,Casa,,,